Date,Price,Min,Max,RSI,K_STOCH,D_STOCH,ROC,MOMENTUM,WILLIAMS,1_moving_avg,7_moving_avg,30_moving_avg,1_exp_moving_avg,7_exp_moving_avg,30_exp_moving_avg,1_wma,7_wma,30_wma,1_dema,7_dema,30_dema,1_tema,7_tema,30_tema
2015-04-30,16010.0,,,0.0,,,0.0,0.0,,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0
2015-05-04,16010.0,,,0.0,,,0.0,0.0,,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0
2015-05-05,16010.0,,,0.0,,,0.0,0.0,,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0
2015-05-06,16010.0,,,0.0,,,0.0,0.0,,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0
2015-05-07,16010.0,,,0.0,,,0.0,0.0,,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0
2015-05-08,16010.0,,,0.0,,,0.0,0.0,,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0
2015-05-11,16010.0,,,0.0,,,0.0,0.0,,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0
2015-05-12,16010.0,,,0.0,,,0.0,0.0,,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0
2015-05-13,16010.0,,,0.0,,,0.0,0.0,,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0
2015-05-14,16010.0,,,0.0,,,0.0,0.0,,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0
2015-05-15,16010.0,,,0.0,,,0.0,0.0,,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0
2015-05-18,16010.0,,,0.0,,,0.0,0.0,,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0
2015-05-19,16010.0,,,0.0,,,0.0,0.0,,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0
2015-05-20,16010.0,,,0.0,,,0.0,0.0,,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0
2015-05-21,16010.0,,,0.0,,,0.0,0.0,,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0
2015-05-22,16010.0,,,0.0,,,0.0,0.0,,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0
2015-05-26,16010.0,,,0.0,,,0.0,0.0,,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0,16010.0
