Date,Price,Min,Max,RSI,K_STOCH,D_STOCH,ROC,MOMENTUM,WILLIAMS,1_moving_avg,7_moving_avg,30_moving_avg,1_exp_moving_avg,7_exp_moving_avg,30_exp_moving_avg,1_wma,7_wma,30_wma,1_dema,7_dema,30_dema,1_tema,7_tema,30_tema
2015-04-30,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.00000000000006,300.0150365490429,301.4752905872121,300.0,300.0,300.0,299.99516142880776,299.99516142880776,299.99516142880776,300.0135935762412,300.0135935762412,300.0135935762412
2015-05-04,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.01315697812754,301.42596041358786,300.0,300.0,300.0,299.995945775507,299.995945775507,299.995945775507,300.0117637551331,300.0117637551331,300.0117637551331
2015-05-05,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0115123541122,301.3783358971926,300.0,300.0,300.0,299.99660485799143,299.99660485799143,299.99660485799143,300.01016413986895,300.01016413986895,300.01016413986895
2015-05-06,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.01007330850877,301.3323543794294,300.0,300.0,300.0,299.9971582980681,299.9971582980681,299.9971582980681,300.00876892904637,300.00876892904637,300.00876892904637
2015-05-07,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00881414391966,301.2879557447577,300.0,300.0,300.0,299.99762272330724,299.99762272330724,299.99762272330724,300.00755456259725,300.00755456259725,300.00755456259725
2015-05-08,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00771237514454,301.2450823018656,300.0,300.0,300.0,299.998012207201,299.998012207201,299.998012207201,300.00649967440177,300.00649967440177,300.00649967440177
2015-05-11,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0067483276503,301.20367867138043,300.0,300.0,300.0,299.9983386482471,299.9983386482471,299.9983386482471,300.0055850035482,300.0055850035482,300.0055850035482
2015-05-12,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0059047862338,301.1636916796982,300.0,300.0,300.0,299.9986120956169,299.9986120956169,299.9986120956169,300.0047932780238,300.0047932780238,300.0047932780238
2015-05-13,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00516668760224,301.1250702585406,300.0,300.0,300.0,299.99884102829867,299.99884102829867,299.99884102829867,300.0041090814863,300.0041090814863,300.0041090814863
2015-05-14,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00452085138215,301.0877653498788,300.0,300.0,300.0,299.9990325938691,299.9990325938691,299.9990325938691,300.0035187112282,300.0035187112282,300.0035187112282
2015-05-15,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00395574475283,301.05172981588896,300.0,300.0,300.0,299.9991928123463,299.9991928123463,299.9991928123463,300.00301003339536,300.00301003339536,300.00301003339536
2015-05-18,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00346127650056,301.01691835362726,300.0,300.0,300.0,299.999326749927,299.999326749927,299.999326749927,300.00257233988947,300.00257233988947,300.00257233988947
2015-05-19,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0030286168169,300.9832874141354,300.0,300.0,300.0,299.9994386668223,299.9994386668223,299.9994386668223,300.0021962100969,300.0021962100969,300.0021962100969
2015-05-20,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0026500396221,300.950795125708,300.0,300.0,300.0,299.99953214286546,299.99953214286546,299.99953214286546,300.001873379569,300.001873379569,300.001873379569
2015-05-21,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00231878459834,300.91940122107036,300.0,300.0,300.0,299.99961018408897,299.99961018408897,299.99961018408897,300.0015966170121,300.0015966170121,300.0015966170121
2015-05-22,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00202893646923,300.88906696823506,300.0,300.0,300.0,299.99967531303724,299.99967531303724,299.99967531303724,300.00135961033135,300.00135961033135,300.00135961033135
2015-05-26,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00177531936896,300.85975510481865,300.0,300.0,300.0,299.99972964520805,299.99972964520805,299.99972964520805,300.00115686204714,300.00115686204714,300.00115686204714
2015-05-27,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.001553404416,300.83142977561727,300.0,300.0,300.0,299.9997749536791,299.9997749536791,299.9997749536791,300.00098359406036,300.00098359406036,300.00098359406036
2015-05-28,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0013592288396,300.8040564732515,300.0,300.0,300.0,299.999812723691,299.999812723691,299.999812723691,300.00083566151363,300.00083566151363,300.00083566151363
2015-06-01,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.001189325216,300.77760198170455,300.0,300.0,300.0,299.9998441987009,299.9998441987009,299.9998441987009,300.00070947533743,300.00070947533743,300.00070947533743
2015-06-02,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0010406595497,300.75203432258917,300.0,300.0,300.0,299.99987041920497,299.99987041920497,299.99987041920497,300.0006019329612,300.0006019329612,300.0006019329612
2015-06-03,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00091057709506,300.7273227039891,300.0,300.0,300.0,299.9998922554365,299.9998922554365,299.9998922554365,300.00051035661227,300.00051035661227,300.00051035661227
2015-06-04,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0007967549498,300.70343747173143,300.0,300.0,300.0,299.9999104348828,299.9999104348828,299.9999104348828,300.0004324385934,300.0004324385934,300.0004324385934
2015-06-05,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00069716057465,300.6803500629552,300.0,300.0,300.0,299.99992556542514,299.99992556542514,299.99992556542514,300.00036619292916,300.00036619292916,300.00036619292916
